Week,Date,Manhattan,Brooklyn,Orange,Average
6,1/31/2019 - 2/6/2019,57.28571429,50.14285714,48.42857143,51.95238095
7,2/7/2019 - 2/13/2019,40.42857143,26.85714286,21.14285714,29.47619048
8,2/14/2019 - 2/20/2019,43,28.71428571,29.14285714,33.61904762
9,2/21/2019 - 2/27/2019,36.14285714,24.28571429,25,28.47619048
10,2/28/2019 - 3/6/2019,43,33.42857143,30.28571429,35.57142857
11,3/7/2019 - 3/13/2019,46.42857143,39.28571429,32.85714286,39.52380952
12,3/14/2019 - 3/20/2019,32.42857143,22.71428571,24.85714286,26.66666667
13,3/21/2019 - 3/27/2019,30.42857143,16.71428571,15.57142857,20.9047619
14,3/28/2019 - 4/3/2019,37.71428571,26.14285714,29.28571429,31.04761905
15,4/4/2019 - 4/10/2019,34.71428571,26.42857143,21.71428571,27.61904762
16,4/11/2019 - 4/17/2019,23.85714286,19,12.85714286,18.57142857
17,4/18/2019 - 4/24/2019,31.28571429,26.14285714,22.14285714,26.52380952
18,4/25/2019 - 5/1/2019,23,16.14285714,13,17.38095238
19,5/2/2019 - 5/8/2019,35.57142857,25.42857143,12.85714286,24.61904762
20,5/9/2019 - 5/15/2019,20.57142857,14.85714286,9.571428571,15
21,5/16/2019 - 5/22/2019,31.28571429,25,22.5,26.26190476
22,5/23/2019 - 5/29/2019,25.28571429,18.71428571,16.57142857,20.19047619
23,5/30/2019 - 6/5/2019,41.14285714,32,31.42857143,34.85714286
24,6/6/2019 - 6/12/2019,22,18.57142857,17.85714286,19.47619048
25,6/13/2019 - 6/19/2019,31.42857143,20.85714286,16.57142857,22.95238095
26,6/20/2019 - 6/26/2019,33.14285714,24.71428571,17.28571429,25.04761905
27,6/27/2019 - 7/3/2019,36.42857143,29.71428571,25.42857143,30.52380952
28,7/4/2019 - 7/10/2019,50.42857143,41.28571429,38.85714286,43.52380952
29,7/11/2019 - 7/17/2019,38.28571429,31,34.28571429,34.52380952
30,7/18/2019 - 7/24/2019,36,32.42857143,22.28571429,30.23809524
31,7/25/2019 - 7/31/2019,51.14285714,43.57142857,37.28571429,44
32,8/1/2019 - 8/7/2019,35.42857143,31.14285714,40.2,35.59047619
33,8/8/2019 - 8/14/2019,36.57142857,31.42857143,21.83333333,29.94444444
34,8/15/2019 - 8/21/2019,35.57142857,29.14285714,23.57142857,29.42857143
35,8/22/2019 - 8/28/2019,21.28571429,19.14285714,15.57142857,18.66666667
36,8/29/2019 - 9/4/2019,26,22.71428571,19.85714286,22.85714286
37,9/5/2019 - 9/11/2019,24.85714286,18.28571429,15.71428571,19.61904762
38,9/12/2019 - 9/18/2019,24.42857143,22.42857143,13.28571429,20.04761905
39,9/19/2019 - 9/25/2019,36.14285714,31.42857143,27.42857143,31.66666667
40,9/26/2019 - 10/2/2019,29.71428571,26.14285714,25.14285714,27
41,10/3/2019 - 10/9/2019,14,17.85714286,9.571428571,13.80952381
42,10/10/2019 - 10/16/2019,19.71428571,19.28571429,14.28571429,17.76190476
43,10/17/2019 - 10/23/2019,23.42857143,20.28571429,20.14285714,21.28571429
44,10/24/2019 - 10/30/2019,27.71428571,24,18.28571429,23.33333333
45,10/31/2019 - 11/6/2019,27.28571429,22.71428571,21.57142857,23.85714286
46,11/7/2019 - 11/13/2019,30.57142857,27.71428571,22.85714286,27.04761905
47,11/14/2019 - 11/20/2019,26.85714286,27.28571429,23.85714286,26
48,11/21/2019 - 11/27/2019,42.28571429,34.71428571,35.71428571,37.57142857
49,11/28/2019 - 12/4/2019,24.42857143,19.57142857,17.85714286,20.61904762
50,12/5/2019 - 12/11/2019,33.28571429,27.28571429,27.85714286,29.47619048
51,12/12/2019 - 12/18/2019,34.42857143,34.85714286,27.71428571,32.33333333
52,12/19/2019 - 12/25/2019,51.71428571,52.71428571,42.85714286,49.0952381
1,12/26/2019 - 1/1/2020,45.33333333,42.16666667,39,42.16666667
