Week,Year,Date,Average of Essex Ozone AQI Value,Average of cluster 3 Ozone AQI Value
23,2019,5/31/2019 - 6/6/2019,47.57,47.57
24,2019,6/7/2019 - 6/13/2019,45.71,45.71
25,2019,6/14/2019 - 6/20/2019,41.71,41.71
26,2019,6/21/2019 - 6/27/2019,46,46
27,2019,6/28/2019 - 7/4/2019,50.43,50.43
28,2019,7/5/2019 - 7/11/2019,44.14,44.14
29,2019,7/12/2019 - 7/18/2019,38.57,38.57
30,2019,7/19/2019 - 7/25/2019,39.71,39.71
31,2019,7/26/2019 - 8/1/2019,44.86,44.86
32,2019,8/2/2019 - 8/8/2019,44.14,44.14
33,2019,8/9/2019 - 8/15/2019,36.29,36.29
34,2019,8/16/2019 - 8/22/2019,44.86,44.86
35,2019,8/23/2019 - 8/29/2019,32.29,32.29
36,2019,8/30/2019 - 9/5/2019,35.43,35.43
37,2019,9/6/2019 - 9/12/2019,33.43,33.43
38,2019,9/13/2019 - 9/19/2019,37.43,37.43
39,2019,9/20/2019 - 9/26/2019,47,47
40,2019,9/27/2019 - 10/3/2019,45.29,45.29
41,2019,10/4/2019 - 10/10/2019,38.71,38.71
42,2019,10/11/2019 - 10/17/2019,39.86,39.86
43,2019,10/18/2019 - 10/24/2019,44.71,44.71
44,2019,10/25/2019 - 10/31/2019,37.86,37.86
45,2019,11/1/2019 - 11/7/2019,31.86,31.86
46,2019,11/8/2019 - 11/14/2019,32.71,32.71
47,2019,11/15/2019 - 11/21/2019,42.86,42.86
48,2019,11/22/2019 - 11/28/2019,38,38
49,2019,11/29/2019 - 12/5/2019,36.86,36.86
50,2019,12/6/2019 - 12/12/2019,34.43,34.43
51,2019,12/13/2019 - 12/19/2019,35.43,35.43
52,2019,12/20/2019 - 12/26/2019,35.57,35.57
1,2020,12/27/2019 - 1/2/2020,33.43,33.43
2,2020,1/3/2020 - 1/9/2020,33.57,33.57
3,2020,1/10/2020 - 1/16/2020,30.14,30.14
4,2020,1/17/2020 - 1/23/2020,39.14,39.14
5,2020,1/24/2020 - 1/30/2020,35.71,35.71
6,2020,1/31/2020 - 2/6/2020,39.57,39.57
7,2020,2/7/2020 - 2/13/2020,39.71,39.71
8,2020,2/14/2020 - 2/20/2020,40.29,40.29
9,2020,2/21/2020 - 2/27/2020,45.57,45.57
10,2020,2/28/2020 - 3/5/2020,41.29,41.29
11,2020,3/6/2020 - 3/12/2020,46,46
12,2020,3/13/2020 - 3/19/2020,42.43,42.43
13,2020,3/20/2020 - 3/26/2020,42.71,42.71
14,2020,3/27/2020 - 4/2/2020,44.14,44.14
15,2020,4/3/2020 - 4/9/2020,37,37
16,2020,4/10/2020 - 4/16/2020,40.86,40.86
17,2020,4/17/2020 - 4/23/2020,43.86,43.86
18,2020,4/24/2020 - 4/30/2020,43.43,43.43
19,2020,5/1/2020 - 5/7/2020,39.86,39.86
20,2020,5/8/2020 - 5/14/2020,39,39
21,2020,5/15/2020 - 5/19/2020,41.25,41.25
