Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
1/27/1900,1/27/2020,27,19,4,1/27/2019,15,29,7,1/27/2018,35,28,16,1/27/2017,27,31,2,1/28/2016,29,25,8,26.5,28.25,8.25,6.897280073,8.21861612,10.80109247,2.056067034,2.449954981,3.219786629,4.766056223,5.679106269,7.463610791
1/28/1900,1/28/2020,16,28,3,1/28/2019,26,27,7,1/28/2018,49,23,2,1/28/2017,7,30,2,1/29/2016,27,23,6,27.25,25.75,4.25,14.12364911,16.82936593,22.11753597,2.799071796,3.335299762,4.383326903,2.162946036,2.577309167,3.387158402
1/29/1900,1/29/2020,9,27,6,1/29/2019,15,24,14,1/29/2018,38,24,7,1/29/2017,22,23,3,1/30/2016,37,21,6,28,23,7.5,9.328896743,11.11606609,14.60898721,1.163087154,1.385903824,1.821386368,3.828188481,4.561567926,5.994916451
1/30/1900,1/30/2020,18,25,15,1/30/2019,33,28,7,1/30/2018,22,26,4,1/30/2017,19,26,5,1/31/2016,35,26,18,27.25,26.5,8.5,6.523491696,7.773219798,10.21574248,0.822426813,0.979981992,1.287914652,5.308742253,6.325756559,8.313453329
1/31/1900,1/31/2020,38,17,24,1/31/2019,21,25,4,1/31/2018,18,26,5,1/31/2017,18,26,13,2/1/2016,43,32,5,25,27.25,6.75,9.937420997,11.84116747,15.56193195,2.633050531,3.137473223,4.123338761,3.448640036,4.10930806,5.400546236
2/1/1900,2/1/2020,73,24,13,2/1/2019,14,29,5,2/1/2018,14,25,14,2/1/2017,31,21,16,2/2/2016,22,31,3,20.25,26.5,9.5,6.660303263,7.936240834,10.42998844,3.647225701,4.345937475,5.711530001,5.308742253,6.325756559,8.313453329
2/2/1900,2/2/2020,74,24,12,2/2/2019,29,29,5,2/2/2018,35,27,2,2/2/2017,61,27,4,2/3/2016,13,26,12,34.5,27.25,5.75,16.41423272,19.55876464,25.70457391,1.034864379,1.233116965,1.620590398,3.577005161,4.26226454,5.601565124
2/3/1900,2/3/2020,55,20,12,2/3/2019,52,23,11,2/3/2018,10,28,3,2/3/2017,17,30,3,2/4/2016,36,27,4,28.75,27,5.25,15.62430578,18.61750865,24.46755385,2.421158982,2.88498887,3.791518074,3.176385125,3.784896324,4.974196944
2/4/1900,2/4/2020,40,23,14,2/4/2019,50,13,20,2/4/2018,23,28,4,2/4/2017,12,32,2,2/5/2016,22,29,4,26.75,25.5,7.5,13.38603333,15.95044252,20.9624348,6.994658257,8.334649383,10.95358603,6.897280073,8.21861612,10.80109247
2/5/1900,2/5/2020,24,26,4,2/5/2019,77,28,7,2/5/2018,20,30,3,2/5/2017,15,29,3,2/6/2016,19,26,3,32.75,28.25,4,24.32655473,28.98687784,38.09521498,1.404561178,1.673637871,2.199533005,1.644853627,1.959963985,2.575829304
