"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"10/13/2018","34","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","32","1",".","34","31"
"10/14/2018","41","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","33","1","6","41","31"
"10/15/2018","37","PM2.5","Flemington","34-019-0001","AQS","7","34","1",".","37","33"
"10/16/2018","39","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","29","1",".","39","27"
"10/17/2018","39","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","32","4","15","39","26"
"10/18/2018","32","Ozone","RIVERHEAD","36-103-0004","AQS","5","32","1",".","28","31"
"10/19/2018","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","38","9",".","48","35"
"10/20/2018","41","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","36","13","8","41","31"
"10/21/2018","33","Ozone","RIVERHEAD","36-103-0004","AQS","6","33","1",".","28","32"
"10/22/2018","39","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","30","17",".","39","37"
"10/23/2018","48","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","36","6","16","48","37"
"10/24/2018","31","Ozone","RIVERHEAD","36-103-0004","AQS","3","31","3",".","28","24"
"10/25/2018","34","NO2","Elizabeth Lab","34-039-0004","AQS","5","31","1",".","29","34"
"10/26/2018","38","NO2","Bayonne","34-017-0006","AQS","7","33","13","9","37","38"
"10/27/2018","37","Ozone","RIVERHEAD","36-103-0004","AQS","5","37","3",".","23","19"
"10/28/2018","26","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","24","1",".","26","20"
"10/29/2018","35","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","31","3","10","35","27"
"10/30/2018","45","NO2","Bayonne","34-017-0006","AQS","11","37","1",".","44","45"
"10/31/2018","67","NO2","IS 52","36-005-0110","AQS","17","44","6",".","57","67"
"11/01/2018","67","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","43","4","22","67","53"
"11/02/2018","44","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","37","1",".","44","30"
"11/03/2018","39","PM2.5","Elizabeth Lab","34-039-0004","AQS","3","35","0",".","39","37"
"11/04/2018","37","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","30","3","9","37","36"
"11/05/2018","39","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","29","1",".","39","38"
"11/06/2018","36","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","7","26","1",".","36","29"
"11/07/2018","45","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","32","4","6","45","29"
"11/08/2018","48","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","23","3",".","48","35"
"11/09/2018","36","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","23","1",".","36","31"
"11/10/2018","31","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31","1","6","31","24"
"11/11/2018","40","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","31","3",".","40","34"
"11/12/2018","68","PM2.5","Jersey City Firehouse","34-017-1003","AQS","20","25","7",".","68","53"
"11/13/2018","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","31","1","6","54","43"
"11/14/2018","34","Ozone","Flemington","34-019-0001","AQS","5","34","1",".","29","25"
"11/15/2018","40","NO2","Elizabeth Lab","34-039-0004","AQS","9","35","1",".","35","40"
"11/16/2018","34","Ozone","Flax Pond","36-103-0044","AQS","7","34","1","6","30","22"
"11/17/2018","57","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","27","1",".","57","21"
"11/18/2018","35","NO2","Elizabeth Lab","34-039-0004","AQS","7","29","1",".","28","35"
"11/19/2018","74","PM2.5","Elizabeth Lab","34-039-0004","AQS","17","22","4","24","74","52"
"11/20/2018","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","29","3",".","59","31"
"11/21/2018","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","3","32","4",".","43","30"
"11/22/2018","32","Ozone","Flemington","34-019-0001","AQS","3","32","3","5","28","11"
"11/23/2018","42","NO2","Fort Lee Near Road","34-003-0010","AQS","8","31","3",".","30","42"
"11/24/2018","67","PM2.5","Newark Firehouse","34-013-0003","AQS","15","33","6",".","67","58"
"11/25/2018","61","PM2.5","Paterson","34-031-0005","AQS","7","33","3","6","61","36"
"11/26/2018","53","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","36","3",".","53","44"
