,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
21,1/22/1900,1/22/2020,33,56,1/22/2019,36,52,1/22/2018,31,96,1/22/2017,26,67,1/22/2016,39,53,33,4.700560769,5.601063622,7.361045368,67,16.8681056,20.09958754,26.41533568,22-Jan, 
22,1/23/1900,1/23/2020,29,76,1/23/2019,37,49,1/23/2018,36,51,1/23/2017,36,34,1/23/2016,36,47,36.25,0.411213407,0.489990996,0.643957326,45.25,6.312717359,7.522066685,9.885671341,23-Jan, 
23,1/24/1900,1/24/2020,30,82,1/24/2019,38,33,1/24/2018,33,39,1/24/2017,36,30,1/24/2016,36,52,35.75,1.695476311,2.020284633,2.655104073,38.5,8.016025015,9.55168294,12.55303924,24-Jan, 
24,1/25/1900,1/25/2020,36,50,1/25/2019,36,46,1/25/2018,37,36,1/25/2017,32,38,1/25/2016,35,64,35,1.776644974,2.11700306,2.782213633,46,10.48930092,12.49877295,16.42617206,25-Jan, 
25,1/26/1900,1/26/2020,24,30,1/26/2019,35,48,1/26/2018,34,53,1/26/2017,35,63,1/26/2016,35,89,34.75,0.411213407,0.489990996,0.643957326,63.25,15.0210203,17.89864966,23.52281299,26-Jan, 
26,1/27/1900,1/27/2020,26,35,1/27/2019,41,51,1/27/2018,39,52,1/27/2017,30,38,1/27/2016,29,55,34.75,5.04190791,6.007803828,7.895592609,49,6.19100414,7.377036439,9.695069289,27-Jan, 
27,1/28/1900,1/28/2020,36,30,1/28/2019,36,54,1/28/2018,29,52,1/28/2017,28,36,1/28/2016,31,62,31,2.927038481,3.487781472,4.58372184,51,8.959043242,10.67535846,14.02979921,28-Jan, 
28,1/29/1900,1/29/2020,37,29,1/29/2019,35,60,1/29/2018,31,56,1/29/2017,32,52,1/29/2016,28,63,31.5,2.374141711,2.828964335,3.717889354,57.75,3.937068627,4.691306623,6.165422,29-Jan, 
29,1/30/1900,1/30/2020,33,40,1/30/2019,37,54,1/30/2018,31,43,1/30/2017,38,41,1/30/2016,32,68,34.5,2.888268048,3.441583652,4.523007611,51.5,10.19499686,12.14808804,15.96529396,30-Jan, 
30,1/31/1900,1/31/2020,33,57,1/31/2019,33,49,1/31/2018,32,38,1/31/2017,31,56,1/31/2016,40,74,34,3.357543406,4.00075973,5.257889549,54.25,12.42517901,14.80551397,19.45774363,31-Jan, 
31,2/1/1900,2/1/2020,29,70,2/1/2019,35,51,2/1/2018,28,58,2/1/2017,37,52,2/1/2016,38,69,34.5,3.708527905,4.418983556,5.807528825,57.5,6.798507239,8.100921029,10.6464149,1-Feb,1-Feb
32,2/2/1900,2/2/2020,28,57,2/2/2019,32,80,2/2/2018,35,45,2/2/2017,36,45,2/2/2016,38,45,35.25,2.056067034,2.449954981,3.219786629,53.75,14.39246924,17.14968486,22.53850641,2-Feb, 
33,2/3/1900,2/3/2020,34,54,2/3/2019,41,92,2/3/2018,31,41,2/3/2017,38,45,2/3/2016,37,54,36.75,3.448640036,4.10930806,5.400546236,58,19.17036739,22.84290167,30.02066158,3-Feb, 
34,2/4/1900,2/4/2020,33,68,2/4/2019,38,83,2/4/2018,35,48,2/4/2017,40,85,2/4/2016,31,47,36,3.220442502,3.837393926,5.043190489,65.75,17.34748811,20.67080703,27.16604535,4-Feb, 
35,2/5/1900,2/5/2020,33,31,2/5/2019,36,81,2/5/2018,39,43,2/5/2017,33,61,2/5/2016,36,36,36,2.014526044,2.400455838,3.154733729,55.25,16.56293552,19.73595496,25.93744147,5-Feb, 
36,2/6/1900,2/6/2020,29,52,2/6/2019,28,42,2/6/2018,31,60,2/6/2017,39,89,2/6/2016,32,66,32.5,3.828188481,4.561567926,5.994916451,64.25,15.95274839,19.00887215,24.98189267,6-Feb, 
37,2/7/1900,2/7/2020,34,36,2/7/2019,25,51,2/7/2018,35,74,2/7/2017,30,85,2/7/2016,36,70,31.5,4.166601792,4.964812259,6.524869336,70,11.6502402,13.88211742,18.24419486,7-Feb, 
