"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/21/2016","26","","PFIZER LAB SITE","36-005-0133","AQS"
"07/22/2016","25","","IS 52","36-005-0110","AQS"
"07/23/2016","11","","IS 52","36-005-0110","AQS"
"07/24/2016","24","","PFIZER LAB SITE","36-005-0133","AQS"
"07/25/2016","36","","PFIZER LAB SITE","36-005-0133","AQS"
"07/26/2016","15","","PFIZER LAB SITE","36-005-0133","AQS"
"07/27/2016","35","","IS 52","36-005-0110","AQS"
"07/28/2016","40","","IS 52","36-005-0110","AQS"
"07/29/2016","27","","PFIZER LAB SITE","36-005-0133","AQS"
"07/30/2016","25","","IS 52","36-005-0110","AQS"
"07/31/2016","19","","IS 52","36-005-0110","AQS"
"08/01/2016","15","","IS 52","36-005-0110","AQS"
"08/02/2016","21","","IS 52","36-005-0110","AQS"
"08/03/2016","20","","IS 52","36-005-0110","AQS"
"08/04/2016","26","","IS 52","36-005-0110","AQS"
"08/05/2016","22","","IS 52","36-005-0110","AQS"
"08/06/2016","15","","IS 52","36-005-0110","AQS"
"08/07/2016","13","","PFIZER LAB SITE","36-005-0133","AQS"
"08/08/2016","34","","PFIZER LAB SITE","36-005-0133","AQS"
"08/09/2016","37","","IS 52","36-005-0110","AQS"
"08/10/2016","25","","IS 52","36-005-0110","AQS"
"08/11/2016","26","","IS 52","36-005-0110","AQS"
"08/12/2016","28","","IS 52","36-005-0110","AQS"
"08/13/2016","20","","IS 52","36-005-0110","AQS"
"08/14/2016","21","","IS 52","36-005-0110","AQS"
"08/15/2016","28","","IS 52","36-005-0110","AQS"
"08/16/2016","24","","IS 52","36-005-0110","AQS"
"08/17/2016","11","","IS 52","36-005-0110","AQS"
"08/18/2016","31","","IS 52","36-005-0110","AQS"
"08/19/2016","32","","PFIZER LAB SITE","36-005-0133","AQS"
"08/20/2016","40","","PFIZER LAB SITE","36-005-0133","AQS"
"08/21/2016","22","","IS 52","36-005-0110","AQS"
"08/22/2016","9","","IS 52","36-005-0110","AQS"
"08/23/2016","33","","IS 52","36-005-0110","AQS"
"08/24/2016","39","","IS 52","36-005-0110","AQS"
"08/25/2016","31","","PFIZER LAB SITE","36-005-0133","AQS"
"08/26/2016","32","","IS 52","36-005-0110","AQS"
"08/27/2016","32","","IS 52","36-005-0110","AQS"
"08/28/2016","27","","PFIZER LAB SITE","36-005-0133","AQS"
"08/29/2016","22","","IS 52","36-005-0110","AQS"
"08/30/2016","18","","PFIZER LAB SITE","36-005-0133","AQS"
"08/31/2016","20","","IS 52","36-005-0110","AQS"
"09/01/2016","33","","IS 52","36-005-0110","AQS"
"09/02/2016","18","","IS 52","36-005-0110","AQS"
"09/03/2016","17","","IS 52","36-005-0110","AQS"
"09/04/2016","12","","IS 52","36-005-0110","AQS"
"09/05/2016","11","","PFIZER LAB SITE","36-005-0133","AQS"
"09/06/2016","9","","PFIZER LAB SITE","36-005-0133","AQS"
"09/07/2016","13","","IS 52","36-005-0110","AQS"
"09/08/2016","50","","IS 52","36-005-0110","AQS"
"09/09/2016","36","","IS 52","36-005-0110","AQS"
"09/10/2016","32","","IS 52","36-005-0110","AQS"
"09/11/2016","11","","IS 52","36-005-0110","AQS"
"09/12/2016","18","","IS 52","36-005-0110","AQS"
"09/13/2016","27","","IS 52","36-005-0110","AQS"
"09/14/2016","27","","IS 52","36-005-0110","AQS"
"09/15/2016","20","","IS 52","36-005-0110","AQS"
"09/16/2016","30","","IS 52","36-005-0110","AQS"
"09/17/2016","27","","IS 52","36-005-0110","AQS"
"09/18/2016","19","","IS 52","36-005-0110","AQS"
"09/19/2016","31","","IS 52","36-005-0110","AQS"
"09/20/2016","44","","PFIZER LAB SITE","36-005-0133","AQS"
"09/21/2016","42","","IS 52","36-005-0110","AQS"
"09/22/2016","35","","IS 52","36-005-0110","AQS"
"09/23/2016","50","","PFIZER LAB SITE","36-005-0133","AQS"
"09/24/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"09/25/2016","33","","PFIZER LAB SITE","36-005-0133","AQS"
"09/26/2016","30","","IS 52","36-005-0110","AQS"
"09/27/2016","34","","IS 52","36-005-0110","AQS"
"09/28/2016","35","","IS 52","36-005-0110","AQS"
"09/29/2016","12","","IS 52","36-005-0110","AQS"
"09/30/2016","14","","IS 52","36-005-0110","AQS"
"10/01/2016","11","","IS 52","36-005-0110","AQS"
"10/02/2016","23","","IS 52","36-005-0110","AQS"
"10/03/2016","42","","IS 52","36-005-0110","AQS"
"10/04/2016","27","","IS 52","36-005-0110","AQS"
"10/05/2016","32","","IS 52","36-005-0110","AQS"
"10/06/2016","42","","IS 52","36-005-0110","AQS"
"10/07/2016","41","","IS 52","36-005-0110","AQS"
"10/08/2016","38","","IS 52","36-005-0110","AQS"
"10/09/2016","17","","IS 52","36-005-0110","AQS"
"10/10/2016","22","","IS 52","36-005-0110","AQS"
"10/11/2016","32","","IS 52","36-005-0110","AQS"
"10/12/2016","32","","IS 52","36-005-0110","AQS"
"10/13/2016","42","","IS 52","36-005-0110","AQS"
"10/14/2016","34","","IS 52","36-005-0110","AQS"
"10/15/2016","26","","IS 52","36-005-0110","AQS"
"10/16/2016","30","","IS 52","36-005-0110","AQS"
"10/17/2016","44","","IS 52","36-005-0110","AQS"
"10/18/2016","42","","PFIZER LAB SITE","36-005-0133","AQS"
"10/19/2016","27","","IS 52","36-005-0110","AQS"
"10/20/2016","22","","IS 52","36-005-0110","AQS"
"10/21/2016","34","","IS 52","36-005-0110","AQS"
"10/22/2016","8","","IS 52","36-005-0110","AQS"
"10/23/2016","19","","PFIZER LAB SITE","36-005-0133","AQS"
"10/24/2016","29","","IS 52","36-005-0110","AQS"
"10/25/2016","17","","IS 52","36-005-0110","AQS"
"10/26/2016","27","","IS 52","36-005-0110","AQS"
"10/27/2016","33","","IS 52","36-005-0110","AQS"
"10/28/2016","17","","IS 52","36-005-0110","AQS"
"10/29/2016","34","","IS 52","36-005-0110","AQS"
"10/30/2016","25","","IS 52","36-005-0110","AQS"
"10/31/2016","30","","IS 52","36-005-0110","AQS"
"11/01/2016","28","","IS 52","36-005-0110","AQS"
"11/02/2016","45","","PFIZER LAB SITE","36-005-0133","AQS"
"11/03/2016","43","","IS 52","36-005-0110","AQS"
"11/04/2016","21","","IS 52","36-005-0110","AQS"
"11/05/2016","25","","IS 52","36-005-0110","AQS"
"11/06/2016","15","","PFIZER LAB SITE","36-005-0133","AQS"
"11/07/2016","31","","PFIZER LAB SITE","36-005-0133","AQS"
"11/08/2016","52","","PFIZER LAB SITE","36-005-0133","AQS"
"11/09/2016","42","","IS 52","36-005-0110","AQS"
"11/10/2016","30","","IS 52","36-005-0110","AQS"
"11/11/2016","28","","IS 52","36-005-0110","AQS"
"11/12/2016","27","","IS 52","36-005-0110","AQS"
"11/13/2016","34","","PFIZER LAB SITE","36-005-0133","AQS"
"11/14/2016","50","","PFIZER LAB SITE","36-005-0133","AQS"
"11/15/2016","50","","IS 52","36-005-0110","AQS"
"11/16/2016","37","","PFIZER LAB SITE","36-005-0133","AQS"
"11/17/2016","25","","IS 52","36-005-0110","AQS"
"11/18/2016","45","","IS 52","36-005-0110","AQS"
"11/19/2016","41","","IS 52","36-005-0110","AQS"
"11/20/2016","8","","IS 52","36-005-0110","AQS"
"11/21/2016","11","","IS 52","36-005-0110","AQS"
"11/22/2016","18","","IS 52","36-005-0110","AQS"
"11/23/2016","28","","IS 52","36-005-0110","AQS"
"11/24/2016","27","","IS 52","36-005-0110","AQS"
"11/25/2016","34","","IS 52","36-005-0110","AQS"
"11/26/2016","21","","PFIZER LAB SITE","36-005-0133","AQS"
"11/27/2016","23","","IS 52","36-005-0110","AQS"
"11/28/2016","33","","PFIZER LAB SITE","36-005-0133","AQS"
"11/29/2016","43","","IS 52","36-005-0110","AQS"
"11/30/2016","45","","IS 52","36-005-0110","AQS"
