"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/30/2019","69","","IS 52","36-005-0110","AQS"
"07/31/2019","60","","IS 52","36-005-0110","AQS"
"08/01/2019","38","","IS 52","36-005-0110","AQS"
"08/02/2019","39","","IS 52","36-005-0110","AQS"
"08/03/2019","38","","IS 52","36-005-0110","AQS"
"08/04/2019","36","","IS 52","36-005-0110","AQS"
"08/05/2019","36","","IS 52","36-005-0110","AQS"
"08/06/2019","48","","IS 52","36-005-0110","AQS"
"08/07/2019","46","","IS 52","36-005-0110","AQS"
"08/08/2019","44","","IS 52","36-005-0110","AQS"
"08/09/2019","33","","IS 52","36-005-0110","AQS"
"08/10/2019","20","","IS 52","36-005-0110","AQS"
"08/11/2019","20","","IS 52","36-005-0110","AQS"
"08/12/2019","31","","IS 52","36-005-0110","AQS"
"08/13/2019","54","","IS 52","36-005-0110","AQS"
"08/14/2019","63","","IS 52","36-005-0110","AQS"
"08/15/2019","52","","IS 52","36-005-0110","AQS"
"08/16/2019","38","","IS 52","36-005-0110","AQS"
"08/17/2019","36","","IS 52","36-005-0110","AQS"
"08/18/2019","45","","IS 52","36-005-0110","AQS"
"08/19/2019","44","","IS 52","36-005-0110","AQS"
"08/20/2019","38","","IS 52","36-005-0110","AQS"
"08/21/2019","52","","IS 52","36-005-0110","AQS"
"08/22/2019","34","","IS 52","36-005-0110","AQS"
"08/23/2019","27","","IS 52","36-005-0110","AQS"
"08/24/2019","20","","IS 52","36-005-0110","AQS"
"08/25/2019","20","","IS 52","36-005-0110","AQS"
"08/26/2019","24","","IS 52","36-005-0110","AQS"
"08/27/2019","26","","IS 52","36-005-0110","AQS"
"08/28/2019","24","","IS 52","36-005-0110","AQS"
"08/29/2019","20","","IS 52","36-005-0110","AQS"
"08/30/2019","35","","IS 74","36-005-0112","AQS"
"08/31/2019","23","","IS 52","36-005-0110","AQS"
"09/01/2019","21","","IS 52","36-005-0110","AQS"
"09/02/2019","28","","IS 52","36-005-0110","AQS"
"09/03/2019","29","","IS 52","36-005-0110","AQS"
"09/04/2019","46","","IS 52","36-005-0110","AQS"
"09/05/2019","19","","IS 52","36-005-0110","AQS"
"09/06/2019","21","","IS 52","36-005-0110","AQS"
