date, pm25, o3, no2, co
2019/7/1, 65, 500, 7, 1
2019/1/2, 17, 19, 12, 2
2019/1/3, 20, 17, 17, 2
2019/1/4, 24, 9, 24, 4
2019/1/5, 42, 17, 16, 3
2019/1/6, 23, 25, 10, 2
2019/1/7, 32, 23, 15, 2
2019/1/8, 9, 20, 23, 3
2019/1/9, 26, 20, 13, 2
2019/1/10, 13, 22, 8, 1
2019/1/11, 9, 27, 11, 2
2019/1/12, 12, 21, 19, 2
2019/1/13, 18, 28, 7, 2
2019/1/14, 13, 26, 17, 2
2019/1/15, 26, 15, 29, 4
2019/1/16, 42, 15, 27, 4
2019/1/17, 46, 25, 15, 2
2019/1/18, 16, 11, 29, 4
2019/1/19, 46, 20, 17, 3
2019/1/20, 34, 24, 9, 2
2019/1/21, 25, 26, 7, 1
2019/1/22, 14, 21, 25, 3
2019/1/23, 22, 20, 20, 2
2019/1/24, 18, 27, 11, 2
2019/1/25, 13, 26, 10, 2
2019/1/26, 19, 25, 18, 2
2019/1/27, 17, 31, 25, 3
2019/1/30, 31, 25, 14, 2
2019/1/31, 33, 16, 16, 2
2019/2/1, 27, 19, 28, 3
2019/2/2, 37, 21, 29, 4
2019/2/3, 57, 18, 34, 6
2019/2/4, 85, 17, 44, 8
2019/2/5, 74, 15, 40, 8
2019/2/6, 70, 500, 18, 1
2019/2/7, 79, 500, 23, 2
2019/2/8, 45, 500, 16, 2
2019/2/9, 144, 500, 7, 1
2019/2/10, 26, 500, 27, 2
2019/2/11, 144, 142, 20, 3
2019/2/12, 147, 322, 19, 1
2019/2/13, 102, 500, 14, 2
2019/2/14, 124, 441, 31, 1
2019/2/15, 97, 500, 26, 2
2019/2/16, 80, 500, 11, 1
2019/2/17, 91, 500, 23, 1
2019/2/18, 71, 500, 15, 2
2019/2/19, 114, 500, 19, 1
2019/2/20, 66, 440, 26, 2
2019/2/21, 115, 322, 17, 3
2019/2/22, 144, 500, 15, 1
2019/2/23, 124, 500, 21, 1
2019/2/24, 110, 500, 13, 3
2019/2/25, 114, 500, 14, 
2019/2/26, 19, 500, 13, 1
2019/2/27, 71, 263, 3, 2
2019/2/28, 143, 500, 13, 1
2019/3/1, 96, 500, 17, 2
2019/3/2, 108, 500, 17, 2
2019/3/3, 108, 207, 15, 3
2019/3/4, 143, 500, 21, 1
2019/3/5, 94, 441, 17, 2
2019/3/6, 91, 500, 14, 1
2019/3/7, 88, 264, 20, 2
2019/3/8, 64, 206, 30, 3
2019/3/9, 46, 34, 26, 3
2019/3/10, 64, 269, 17, 3
2019/3/11, 34, 269, 22, 2
2019/3/12, 78, 500, 17, 1
2019/3/13, 102, 500, 26, 2
2019/3/14, 92, 442, 12, 2
2019/3/15, 91, 500, 11, 2
2019/3/16, 90, 500, 4, 
2019/3/17, 24, 500, 10, 
2019/3/18, 9, 500, 14, 1
2019/3/19, 94, 383, 19, 3
2019/3/20, 80, 270, 23, 3
2019/3/21, 34, 500, 20, 2
2019/3/22, 123, 500, 6, 1
2019/3/23, 54, 500, 5, 
2019/3/24, 41, 500, 9, 1
2019/3/25, 44, 500, 19, 2
2019/3/26, 105, 500, 7, 1
2019/3/27, 36, 500, 10, 1
2019/3/28, 137, 500, 20, 2
2019/3/29, 48, 500, 34, 4
2019/3/30, 70, 212, 19, 3
2019/3/31, 63, 500, 9, 1
2019/4/1, 77, 500, 8, 1
2018/10/2, 28, 33, 10, 2
2018/10/3, 33, 26, 14, 2
2018/10/4, 15, 35, 18, 4
2018/10/5, 32, 23, 6, 2
2018/10/6, 12, 23, 5, 1
2018/10/7, 9, 21, 13, 3
2018/10/8, 29, 14, 6, 2
2018/10/9, 19, 17, 9, 2
2018/10/10, 13, 20, 11, 2
2018/10/11, 21, 16, 11, 2
2018/10/12, 7, 19, 7, 1
2018/10/13, 10, 19, 6, 1
2018/10/14, 15, 24, 13, 2
2018/10/15, 12, 19, 15, 3
2018/10/16, 20, 19, 9, 1
2018/10/17, 10, 24, 12, 2
2018/10/18, 18, 24, 7, 1
2018/10/19, 4, 25, 18, 3
2018/10/20, 20, 25, 10, 2
2018/10/21, 19, 24, 4, 1
2018/10/22, 8, 19, 18, 3
2018/10/23, 13, 24, 13, 2
2018/10/24, 17, 21, 8, 1
2018/10/25, 8, 15, 10, 2
2018/10/26, 7, 16, 16, 3
2018/10/27, 13, 26, 4, 1
2018/10/28, 4, 16, 9, 2
2018/10/29, 10, 19, 11, 2
2018/10/30, 16, 25, 14, 2
2018/10/31, 12, 31, 22, 6
2018/11/1, 35, 25, 18, 3
2018/11/2, 54, 25, 7, 1
2018/11/3, 28, 26, 6, 2
2018/11/4, 8, 22, 12, 2
2018/11/5, 18, 18, 14, 2
2018/11/6, 21, 13, 11, 3
2018/11/7, 15, 20, 15, 2
2018/11/8, 20, 18, 12, 2
2018/11/9, 19, 16, 12, 2
2018/11/10, 12, 24, 9, 2
2018/11/11, 11, 23, 13, 2
2018/11/12, 14, 18, 28, 6
2018/11/13, 45, 17, 20, 3
2018/11/14, 28, 24, 9, 1
2018/11/15, 9, 24, 10, 2
2018/11/16, 11, 26, 10, 2
2018/11/17, 13, 17, 13, 2
2018/11/18, 28, 21, 12, 2
2018/11/19, 12, 7, 31, 6
2018/11/20, 63, 17, 19, 3
2018/11/21, 40, 20, 13, 2
2018/11/22, 22, 26, 5, 1
2018/11/23, 8, 18, 22, 2
2018/11/24, 15, 18, 30, 5
2018/11/25, 33, 26, 14, 3
2018/11/26, 23, 27, 19, 4
2018/11/27, 30, 18, 10, 2
2018/11/28, 8, 16, 9, 2
2018/11/29, 8, 21, 9, 2
2018/11/30, 9, 9, 24, 3
2018/12/1, 30, 19, 18, 3
2018/12/2, 38, 19, 20, 5
2018/12/3, 28, 12, 14, 3
2018/12/4, 18, 22, 10, 2
2018/12/5, 7, 21, 23, 4
2018/12/6, 14, 15, 20, 3
2018/12/7, 32, 20, 13, 2
2018/12/8, 19, 19, 17, 2
2018/12/9, 28, 16, 23, 3
2018/12/10, 35, 22, 20, 3
2018/12/11, 33, 13, 26, 3
2018/12/12, 41, 15, 19, 3
2018/12/13, 58, 13, 24, 3
2018/12/14, 34, 23, 20, 3
2018/12/15, 17, 15, 21, 4
2018/12/16, 34, 23, 6, 2
2018/12/17, 14, 23, 11, 2
2018/12/18, 12, 24, 8, 2
2018/12/19, 7, 13, 27, 4
2018/12/20, 36, 7, 35, 6
2018/12/21, 48, 31, 8, 2
2018/12/22, 12, 23, 8, 2
2018/12/23, 17, 23, 9, 2
2018/12/24, 19, 18, 17, 3
2018/12/25, 38, 21, 8, 2
2018/12/26, 14, 17, 19, 3
2018/12/27, 29, 18, 17, 2
2018/12/28, 37, 24, 16, 3
2018/12/29, 21, 18, 11, 2
2018/12/30, 20, 19, 16, 3
2018/12/31, 25, , , 
2018/7/2, 67, 70, 17, 3
2018/7/3, 70, 39, 12, 2
2018/7/4, 61, 36, 8, 2
2018/7/5, 52, 21, 4, 1
2018/7/6, 26, 22, 8, 1
2018/7/7, 21, 32, 5, 1
2018/7/8, 7, 43, 12, 2
2018/7/9, 23, 57, 12, 2
2018/7/10, 32, 80, 18, 3
2018/7/11, 46, 43, 8, 2
2018/7/12, 43, 48, 11, 2
2018/7/13, 39, 40, 13, 2
2018/7/14, 35, 56, 9, 2
2018/7/15, 39, 46, 11, 2
2018/7/16, 43, 68, 20, 3
