"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/28/2015","4","","WHITE PLAINS","36-119-2004","AQS"
"09/29/2015","10","","WHITE PLAINS","36-119-2004","AQS"
"09/30/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"10/01/2015","6","","WHITE PLAINS","36-119-2004","AQS"
"10/02/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"10/03/2015","4","","WHITE PLAINS","36-119-2004","AQS"
"10/04/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"10/05/2015","11","","WHITE PLAINS","36-119-2004","AQS"
"10/06/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"10/07/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"10/08/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"10/09/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"10/10/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"10/11/2015","28","","WHITE PLAINS","36-119-2004","AQS"
"10/12/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"10/13/2015","29","","WHITE PLAINS","36-119-2004","AQS"
"10/14/2015","16","","WHITE PLAINS","36-119-2004","AQS"
"10/15/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"10/16/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"10/17/2015","12","","WHITE PLAINS","36-119-2004","AQS"
"10/18/2015","11","","WHITE PLAINS","36-119-2004","AQS"
"10/19/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"10/20/2015","34","","WHITE PLAINS","36-119-2004","AQS"
"10/21/2015","52","","WHITE PLAINS","36-119-2004","AQS"
"10/22/2015","57","","WHITE PLAINS","36-119-2004","AQS"
"10/23/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"10/24/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"10/25/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"10/26/2015","10","","WHITE PLAINS","36-119-2004","AQS"
"10/27/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"10/28/2015","5","","WHITE PLAINS","36-119-2004","AQS"
"10/29/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"10/30/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"10/31/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"11/01/2015","38","","WHITE PLAINS","36-119-2004","AQS"
"11/02/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"11/03/2015","42","","WHITE PLAINS","36-119-2004","AQS"
"11/04/2015","42","","WHITE PLAINS","36-119-2004","AQS"
"11/05/2015","54","","WHITE PLAINS","36-119-2004","AQS"
"11/06/2015","42","","WHITE PLAINS","36-119-2004","AQS"
"11/07/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"11/08/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"11/09/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"11/10/2015","16","","WHITE PLAINS","36-119-2004","AQS"
"11/11/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"11/12/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"11/13/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"11/14/2015","19","","WHITE PLAINS","36-119-2004","AQS"
"11/15/2015","32","","WHITE PLAINS","36-119-2004","AQS"
"11/16/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"11/17/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"11/18/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"11/19/2015","13","","WHITE PLAINS","36-119-2004","AQS"
"11/20/2015","21","","WHITE PLAINS","36-119-2004","AQS"
"11/21/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"11/22/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"11/23/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"11/24/2015","34","","WHITE PLAINS","36-119-2004","AQS"
"11/25/2015","48","","WHITE PLAINS","36-119-2004","AQS"
"11/26/2015","45","","WHITE PLAINS","36-119-2004","AQS"
"11/27/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"11/28/2015","27","","WHITE PLAINS","36-119-2004","AQS"
"11/29/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"11/30/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"12/01/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"12/02/2015","22","","WHITE PLAINS","36-119-2004","AQS"
"12/03/2015","17","","WHITE PLAINS","36-119-2004","AQS"
"12/04/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"12/05/2015","40","","WHITE PLAINS","36-119-2004","AQS"
"12/06/2015","57","","WHITE PLAINS","36-119-2004","AQS"
"12/07/2015","57","","WHITE PLAINS","36-119-2004","AQS"
"12/08/2015","47","","WHITE PLAINS","36-119-2004","AQS"
"12/09/2015","56","","WHITE PLAINS","36-119-2004","AQS"
"12/10/2015","55","","WHITE PLAINS","36-119-2004","AQS"
"12/11/2015","64","","WHITE PLAINS","36-119-2004","AQS"
"12/12/2015","70","","WHITE PLAINS","36-119-2004","AQS"
"12/13/2015","66","","WHITE PLAINS","36-119-2004","AQS"
"12/14/2015","23","","WHITE PLAINS","36-119-2004","AQS"
"12/15/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"12/16/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"12/17/2015","15","","WHITE PLAINS","36-119-2004","AQS"
"12/18/2015","30","","WHITE PLAINS","36-119-2004","AQS"
"12/19/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"12/20/2015","35","","WHITE PLAINS","36-119-2004","AQS"
"12/21/2015","38","","WHITE PLAINS","36-119-2004","AQS"
"12/22/2015","40","","WHITE PLAINS","36-119-2004","AQS"
"12/23/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"12/24/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"12/25/2015","44","","WHITE PLAINS","36-119-2004","AQS"
"12/26/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"12/27/2015","26","","WHITE PLAINS","36-119-2004","AQS"
"12/28/2015","20","","WHITE PLAINS","36-119-2004","AQS"
"12/29/2015","18","","WHITE PLAINS","36-119-2004","AQS"
"12/30/2015","33","","WHITE PLAINS","36-119-2004","AQS"
"12/31/2015","25","","WHITE PLAINS","36-119-2004","AQS"
"01/01/2016","34","","WHITE PLAINS","36-119-2004","AQS"
"01/02/2016","45","","WHITE PLAINS","36-119-2004","AQS"
"01/03/2016","52","","WHITE PLAINS","36-119-2004","AQS"
"01/04/2016","40","","WHITE PLAINS","36-119-2004","AQS"
"01/05/2016","44","","WHITE PLAINS","36-119-2004","AQS"
"01/06/2016","57","","WHITE PLAINS","36-119-2004","AQS"
"01/07/2016","59","","WHITE PLAINS","36-119-2004","AQS"
"01/08/2016","54","","WHITE PLAINS","36-119-2004","AQS"
"01/09/2016","50","","WHITE PLAINS","36-119-2004","AQS"
"01/10/2016","26","","WHITE PLAINS","36-119-2004","AQS"
"01/11/2016","38","","WHITE PLAINS","36-119-2004","AQS"
"01/12/2016","36","","WHITE PLAINS","36-119-2004","AQS"
"01/13/2016","40","","WHITE PLAINS","36-119-2004","AQS"
"01/14/2016","52","","WHITE PLAINS","36-119-2004","AQS"
"01/15/2016","57","","WHITE PLAINS","36-119-2004","AQS"
"01/16/2016","43","","WHITE PLAINS","36-119-2004","AQS"
"01/17/2016","34","","WHITE PLAINS","36-119-2004","AQS"
"01/18/2016","37","","WHITE PLAINS","36-119-2004","AQS"
"01/19/2016","25","","WHITE PLAINS","36-119-2004","AQS"
"01/20/2016","25","","WHITE PLAINS","36-119-2004","AQS"
"01/21/2016","30","","WHITE PLAINS","36-119-2004","AQS"
"01/22/2016","23","","WHITE PLAINS","36-119-2004","AQS"
"01/23/2016","26","","WHITE PLAINS","36-119-2004","AQS"
"01/24/2016","45","","WHITE PLAINS","36-119-2004","AQS"
"01/25/2016","55","","WHITE PLAINS","36-119-2004","AQS"
"01/26/2016","56","","WHITE PLAINS","36-119-2004","AQS"
"01/27/2016","40","","WHITE PLAINS","36-119-2004","AQS"
"01/28/2016","39","","WHITE PLAINS","36-119-2004","AQS"
"01/29/2016","46","","WHITE PLAINS","36-119-2004","AQS"
"01/30/2016","45","","WHITE PLAINS","36-119-2004","AQS"
"01/31/2016","51","","WHITE PLAINS","36-119-2004","AQS"
"02/01/2016","42","","WHITE PLAINS","36-119-2004","AQS"
"02/02/2016","29","","WHITE PLAINS","36-119-2004","AQS"
"02/03/2016","25","","WHITE PLAINS","36-119-2004","AQS"
"02/04/2016","27","","WHITE PLAINS","36-119-2004","AQS"
"02/05/2016","27","","WHITE PLAINS","36-119-2004","AQS"
"02/06/2016","35","","WHITE PLAINS","36-119-2004","AQS"
"02/07/2016","45","","WHITE PLAINS","36-119-2004","AQS"
"02/08/2016","23","","WHITE PLAINS","36-119-2004","AQS"
"02/09/2016","29","","WHITE PLAINS","36-119-2004","AQS"
"02/10/2016","37","","WHITE PLAINS","36-119-2004","AQS"
"02/11/2016","28","","WHITE PLAINS","36-119-2004","AQS"
"02/12/2016","28","","WHITE PLAINS","36-119-2004","AQS"
"02/13/2016","33","","WHITE PLAINS","36-119-2004","AQS"
"02/14/2016","32","","WHITE PLAINS","36-119-2004","AQS"
"02/15/2016","37","","WHITE PLAINS","36-119-2004","AQS"
"02/16/2016","18","","WHITE PLAINS","36-119-2004","AQS"
"02/17/2016","36","","WHITE PLAINS","36-119-2004","AQS"
"02/18/2016","26","","WHITE PLAINS","36-119-2004","AQS"
"02/19/2016","29","","WHITE PLAINS","36-119-2004","AQS"
"02/20/2016","36","","WHITE PLAINS","36-119-2004","AQS"
"02/21/2016","33","","WHITE PLAINS","36-119-2004","AQS"
"02/22/2016","21","","WHITE PLAINS","36-119-2004","AQS"
"02/23/2016","23","","WHITE PLAINS","36-119-2004","AQS"
"02/24/2016","7","","WHITE PLAINS","36-119-2004","AQS"
"02/25/2016","26","","WHITE PLAINS","36-119-2004","AQS"
"02/26/2016","25","","WHITE PLAINS","36-119-2004","AQS"
