Week,Date,Orange,Manhattan,Westchester,Average
40,9/26/2019 - 10/2/2019,25.14285714,29.71428571,19,24.61904762
41,10/3/2019 - 10/9/2019,9.571428571,14,5.857142857,9.809523809
42,10/10/2019 - 10/16/2019,14.28571429,19.71428571,12,15.33333333
43,10/17/2019 - 10/23/2019,20.14285714,23.42857143,15.42857143,19.66666667
44,10/24/2019 - 10/30/2019,18.28571429,27.71428571,14.85714286,20.28571429
45,10/31/2019 - 11/6/2019,21.57142857,27.28571429,19.33333333,22.73015873
46,11/7/2019 - 11/13/2019,22.85714286,30.57142857,23.85714286,25.76190476
47,11/14/2019 - 11/20/2019,23.85714286,26.85714286,17,22.57142857
48,11/21/2019 - 11/27/2019,35.71428571,42.28571429,30.85714286,36.28571429
49,11/28/2019 - 12/4/2019,17.85714286,24.42857143,16.28571429,19.52380953
50,12/5/2019 - 12/11/2019,27.85714286,33.28571429,24.14285714,28.42857143
51,12/12/2019 - 12/18/2019,27.71428571,34.42857143,21.14285714,27.76190476
52,12/19/2019 - 12/25/2019,42.85714286,51.71428571,39.42857143,44.66666667
1,12/26/2019 - 1/1/2020,39,45.33333333,32.83333333,39.05555555
