Week,Date,Bronx,Queens,Rockland,Westchester,Average
52,12/21/2017 - 12/27/2017,34,37.28571429,28.28571429,29.28571429,32.21428571
1,12/28/2017 - 1/3/2018,45.57142857,45.85714286,32.83333333,37.28571429,40.38690476
2,1/4/2018 - 1/10/2018,51,48.57142857,40,40.14285714,44.92857143
3,1/11/2018 - 1/17/2018,49.42857143,43.71428571,38,34.42857143,41.39285714
4,1/18/2018 - 1/24/2018,50.85714286,54,42.85714286,43.42857143,47.78571429
5,1/25/2018 - 1/31/2018,35.85714286,37.57142857,29.28571429,29.14285714,32.96428571
6,2/1/2018 - 2/7/2018,42.42857143,40.57142857,28.83333333,30.16666667,35.5
7,2/8/2018 - 2/14/2018,46.28571429,45,35.57142857,32.42857143,39.82142857
8,2/15/2018 - 2/21/2018,45.28571429,44.28571429,33.28571429,32.28571429,38.78571429
9,2/22/2018 - 2/28/2018,28.28571429,30,17.71428571,20.14285714,24.03571429
10,3/1/2018 - 3/7/2018,19.85714286,25.14285714,14.33333333,20.5,19.95833333
11,3/8/2018 - 3/14/2018,23.14285714,21.85714286,14.4,13.83333333,18.30833333
12,3/15/2018 - 3/21/2018,26.42857143,27.28571429,17.14285714,16.85714286,21.92857143
13,3/22/2018 - 3/28/2018,26.14285714,31.42857143,19,19.71428571,24.07142857
14,3/29/2018 - 4/4/2018,32.14285714,33.14285714,15.14285714,19.14285714,24.89285714
15,4/5/2018 - 4/11/2018,26.71428571,31.14285714,16.28571429,17.71428571,22.96428571
16,4/12/2018 - 4/18/2018,36.14285714,35.85714286,29.66666667,26.14285714,31.95238095
17,4/19/2018 - 4/25/2018,19.14285714,26.57142857,12.14285714,10.42857143,17.07142857
18,4/26/2018 - 5/2/2018,25.85714286,32.28571429,11.83333333,16.57142857,21.63690476
19,5/3/2018 - 5/9/2018,36.71428571,37.28571429,25.42857143,25.42857143,31.21428571
20,5/10/2018 - 5/16/2018,24.71428571,29,14,14.71428571,20.60714286
21,5/17/2018 - 5/23/2018,24.28571429,32.14285714,12.71428571,12.57142857,20.42857143
22,5/24/2018 - 5/30/2018,33.14285714,40,32.57142857,28.85714286,33.64285714
23,5/31/2018 - 6/6/2018,17,27.42857143,8,10,15.60714286
24,6/7/2018 - 6/13/2018,27.71428571,29.28571429,16.14285714,14.85714286,22
25,6/14/2018 - 6/20/2018,29,33.28571429,18.85714286,20.28571429,25.35714286
26,6/21/2018 - 6/27/2018,19.42857143,28.85714286,18.71428571,15.71428571,20.67857143
27,6/28/2018 - 7/4/2018,52.16666667,54,42,50.57142857,49.68452381
28,7/5/2018 - 7/11/2018,27.85714286,31,21.57142857,21.71428571,25.53571429
29,7/12/2018 - 7/18/2018,38.42857143,41.71428571,26.85714286,27,33.5
30,7/19/2018 - 7/25/2018,22.14285714,24.28571429,11.57142857,11.28571429,17.32142857
31,7/26/2018 - 8/1/2018,33,37,26.16666667,22.85714286,29.75595238
32,8/2/2018 - 8/8/2018,42.14285714,44.71428571,26.28571429,28,35.28571429
33,8/9/2018 - 8/15/2018,37.71428571,40.85714286,25.85714286,24.16666667,32.14880952
34,8/16/2018 - 8/22/2018,43.14285714,42.42857143,26,22.85714286,33.60714286
35,8/23/2018 - 8/29/2018,48.28571429,48.57142857,48.42857143,23.25,42.13392857
36,8/30/2018 - 9/5/2018,31.28571429,35.71428571,20.71428571,11.57142857,24.82142857
37,9/6/2018 - 9/12/2018,21.28571429,28.14285714,9.714285714,6.142857143,16.32142857
38,9/13/2018 - 9/19/2018,17.85714286,23.85714286,15.28571429,8.428571429,16.35714286
