Week,Date,Essex,Average
22,5/23/2019 - 5/29/2019,16.14285714,16.14285714
23,5/30/2019 - 6/5/2019,11.42857143,11.42857143
24,6/6/2019 - 6/12/2019,11.85714286,11.85714286
25,6/13/2019 - 6/19/2019,14.85714286,14.85714286
26,6/20/2019 - 6/26/2019,21.16666667,21.16666667
27,6/27/2019 - 7/3/2019,26.85714286,26.85714286
28,7/4/2019 - 7/10/2019,21.42857143,21.42857143
29,7/11/2019 - 7/17/2019,18.85714286,18.85714286
30,7/18/2019 - 7/24/2019,33.66666667,33.66666667
31,7/25/2019 - 7/31/2019,16.71428571,16.71428571
32,8/1/2019 - 8/7/2019,15.25,15.25
33,8/8/2019 - 8/14/2019,19.57142857,19.57142857
34,8/15/2019 - 8/21/2019,12.85714286,12.85714286
35,8/22/2019 - 8/28/2019,9.857142857,9.857142857
36,8/29/2019 - 9/4/2019,12.28571429,12.28571429
37,9/5/2019 - 9/11/2019,8.857142857,8.857142857
38,9/12/2019 - 9/18/2019,18,18
39,9/19/2019 - 9/25/2019,12.14285714,12.14285714
40,9/26/2019 - 10/2/2019,8,8
41,10/3/2019 - 10/9/2019,6.833333333,6.833333333
42,10/10/2019 - 10/16/2019,6.333333333,6.333333333
43,10/17/2019 - 10/23/2019,8.428571429,8.428571429
44,10/24/2019 - 10/30/2019,6.5,6.5
45,10/31/2019 - 11/6/2019,8,8
46,11/7/2019 - 11/13/2019,10.85714286,10.85714286
47,11/14/2019 - 11/20/2019,11.57142857,11.57142857
48,11/21/2019 - 11/27/2019,7,7
49,11/28/2019 - 12/4/2019,9.714285714,9.714285714
50,12/5/2019 - 12/11/2019,6.714285714,6.714285714
51,12/12/2019 - 12/18/2019,11.2,11.2
52,12/19/2019 - 12/25/2019,11.33333333,11.33333333
1,12/26/2019 - 1/1/2020,45.33333333,42.16666667
