date, pm25, o3, no2, co
2016/6/19, 28, , , 
2016/6/20, 25, , , 
2016/6/21, 25, , , 
2016/6/22, 34, , , 
2016/6/23, 26, , , 
2016/6/24, 49, , , 
2016/6/25, 43, , , 
2016/6/26, 30, , , 
2016/6/27, 25, , , 
2016/6/28, 31, , , 
2016/6/29, 14, , , 
2016/6/30, 17, , , 
2016/7/1, 21, , , 
2016/1/5, 38, , , 
2016/1/6, 47, , , 
2016/1/7, 49, , , 
2016/1/8, 64, , , 
2016/1/9, 52, , , 
2016/1/10, 45, , , 
2016/1/11, 26, , , 
2016/1/12, 33, , , 
2016/1/13, 33, , , 
2016/1/14, 41, , , 
2016/1/15, 47, , , 
2016/1/16, 62, , , 
2016/1/17, 43, , , 
2016/1/18, 32, , , 
2016/1/19, 39, , , 
2016/1/20, 31, , , 
2016/1/21, 29, , , 
2016/1/22, 32, , , 
2016/1/23, 26, , , 
2016/1/24, 22, , , 
2016/1/25, 36, , , 
2016/1/26, 52, , , 
2016/1/27, 38, , , 
2016/1/28, 42, , , 
2016/1/29, 42, , , 
2016/1/30, 44, , , 
2016/1/31, 38, , , 
2016/2/1, 44, , , 
2016/2/2, 50, , , 
2016/2/3, 35, , , 
2016/2/4, 26, , , 
2016/2/5, 33, , , 
2016/2/6, 24, , , 
2016/2/7, 32, , , 
2016/2/8, 47, , , 
2016/2/9, 27, , , 
2016/2/10, 38, , , 
2016/2/11, 37, , , 
2016/2/12, 24, , , 
2016/2/13, 23, , , 
2016/2/14, 29, , , 
2016/2/15, 26, , , 
2016/2/16, 45, , , 
2016/2/17, 29, , , 
2016/2/18, 40, , , 
2016/2/19, 24, , , 
2016/2/20, 27, , , 
2016/2/21, 32, , , 
2016/2/22, 40, , , 
2016/2/23, 27, , , 
2016/2/24, 21, , , 
2016/2/25, 14, , , 
2016/2/26, 19, , , 
2016/2/27, 21, , , 
2016/2/28, 24, , , 
2016/2/29, 41, , , 
2016/3/1, 26, , , 
2016/3/2, 21, , , 
2016/3/3, 30, , , 
2016/3/4, 20, , , 
2016/3/5, 26, , , 
2016/3/6, 23, , , 
2016/3/7, 30, , , 
2016/3/8, 46, , , 
2016/3/9, 64, , , 
2016/3/10, 63, , , 
2016/3/11, 57, , , 
2016/3/12, 18, , , 
2016/3/13, 16, , , 
2016/3/14, 33, , , 
2016/3/15, 12, , , 
2016/3/16, 22, , , 
2016/3/17, 25, , , 
2016/3/18, 17, , , 
2016/3/19, 18, , , 
2016/3/20, 14, , , 
2016/3/21, 15, , , 
2016/3/22, 20, , , 
2016/3/23, 25, , , 
2016/3/24, 45, , , 
2016/3/25, 44, , , 
2016/3/26, 33, , , 
2016/3/27, 20, , , 
2016/3/28, 14, , , 
2016/3/29, 17, , , 
2016/3/30, 16, , , 
2016/3/31, 24, , , 
2016/4/1, 29, , , 
2015/10/2, 10, , , 
2015/10/3, 7, , , 
2015/10/4, 6, , , 
2015/10/5, 13, , , 
2015/10/6, 18, , , 
2015/10/7, 26, , , 
2015/10/8, 22, , , 
2015/10/9, 31, , , 
2015/10/10, 25, , , 
2015/10/11, 12, , , 
2015/10/12, 19, , , 
2015/10/13, 38, , , 
2015/10/14, 29, , , 
2015/10/15, 21, , , 
2015/10/16, 15, , , 
2015/10/17, 20, , , 
2015/10/18, 12, , , 
2015/10/19, 10, , , 
2015/10/20, 18, , , 
2015/10/21, 28, , , 
2015/10/22, 52, , , 
2015/10/23, 38, , , 
2015/10/24, 24, , , 
2015/10/25, 9, , , 
2015/10/26, 13, , , 
2015/10/27, 42, , , 
2015/10/28, 27, , , 
2015/10/29, 5, , , 
2015/10/30, 14, , , 
2015/10/31, 17, , , 
