DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
2/16/1900,2/16/2020,47,7,2/16/2019,25,16,2/16/2018,53,21,2/16/2017,34,10,2/16/2016,36,18,37,9.614541141,11.45643239,15.05630435,16.25,3.820819487,4.552787229,5.983376659
2/17/1900,2/17/2020,25,11,2/17/2019,19,10,2/17/2018,27,25,2/17/2017,49,20,2/17/2016,50,18,36.25,12.87082636,15.33653554,20.15562427,18.25,5.130563633,6.113443638,8.034426852
2/18/1900,2/18/2020,38,7,2/18/2019,30,17,2/18/2018,48,34,2/18/2017,50,29,2/18/2016,31,18,39.75,8.81634895,10.50532773,13.80634094,24.5,6.864513711,8.179572592,10.74978058
2/19/1900,2/19/2020,23,10,2/19/2019,38,31,2/19/2018,34,16,2/19/2017,46,18,2/19/2016,29,18,36.75,5.906795871,7.038381398,9.250001122,20.75,5.67315556,6.759981796,8.884122025
2/20/1900,2/20/2020,22,15,2/20/2019,38,42,2/20/2018,42,15,2/20/2017,26,16,2/20/2016,30,18,34,6.006156235,7.156776575,9.405598759,22.75,10.60420435,12.63568883,16.60611002
2/21/1900,2/21/2020,34,11,2/21/2019,37,10,2/21/2018,32,15,2/21/2017,35,21,2/21/2016,25,18,32.25,4.319372262,5.146849501,6.764106825,16,3.857523687,4.596522981,6.04085518
2/22/1900,2/22/2020,39,7,2/22/2019,50,34,2/22/2018,21,11,2/22/2017,59,30,2/22/2016,26,18,39,15.120133,18.01674972,23.67802278,23.25,8.739292711,10.41350956,13.68567141
2/23/1900,2/23/2020,48,20,2/23/2019,53,37,2/23/2018,15,9,2/23/2017,54,15,2/23/2016,38,18,40,14.97027664,17.83818486,23.44334877,19.75,9.945925424,11.85130112,15.57524982
2/24/1900,2/24/2020,55,21,2/24/2019,16,6,2/24/2018,20,16,2/24/2017,33,13,2/24/2016,15,18,21,6.815068791,8.120655336,10.67235018,13.25,4.319372262,5.146849501,6.764106825
2/25/1900,2/25/2020,57,26,2/25/2019,40,8,2/25/2018,20,5,2/25/2017,25,13,2/25/2016,24,18,27.25,7.212859766,8.594652518,11.29528807,11,4.700560769,5.601063622,7.361045368
