date, pm25, o3, no2, co
2019/5/12, 15, 27, 136, 2
2019/5/13, 23, 24, 96, 2
2019/5/14, 7, 12, 127, 3
2019/5/15, 22, 28, 3, 2
2019/5/16, 17, 38, 87, 3
2019/5/17, 47, 37, , 3
2019/5/18, 47, 97, 112, 2
2019/5/19, 50, 38, 120, 2
2019/5/20, 37, 39, , 2
2019/5/21, 40, 27, 81, 1
2019/5/22, 16, 34, 82, 2
2019/5/23, 12, 28, 117, 2
2019/5/24, 44, 30, 113, 2
2019/5/25, 33, 90, 116, 2
2019/5/26, 11, 37, 71, 2
2019/5/27, 58, 89, 46, 2
2019/5/28, 16, 26, , 3
2019/5/29, 50, 79, 1, 2
2019/5/30, 52, 24, 4, 3
2019/5/31, 14, 37, 7, 2
2019/6/1, 44, 42, , 3
2019/6/2, 48, 45, , 3
2019/6/3, 41, 29, 114, 2
2019/6/4, 13, 33, 39, 1
2019/6/5, 52, 43, 68, 2
2019/6/6, 49, 42, , 2
2019/6/7, 25, 42, , 3
2019/6/8, 62, 37, 123, 3
2019/6/9, 29, 94, 47, 1
2019/6/10, 50, 262, 80, 2
2019/6/11, 36, 28, , 1
2019/6/12, 31, 19, , 1
2019/6/13, 4, 28, 120, 2
2019/6/14, 7, 28, , 2
2019/6/15, 19, 44, 125, 2
2019/6/16, 40, 39, , 2
2019/6/17, 53, 24, 4, 3
2019/6/18, 45, 89, , 3
2019/6/19, 36, 23, , 2
2019/6/20, 13, 17, , 3
2019/6/21, 49, , 3, 1
2019/6/22, 26, , 1, 1
2019/6/23, 7, , 2, 1
2019/6/24, 25, , 6, 2
2019/6/25, 66, , , 2
2019/6/26, 54, 45, 4, 2
2019/6/27, 33, 49, 119, 2
2019/6/28, 25, 192, , 2
2019/6/29, 40, 104, , 2
2019/6/30, 55, 30, 41, 1
2019/7/1, 27, 33, , 2
2019/1/2, 39, 16, , 3
2019/1/3, 41, 24, , 3
2019/1/4, 41, 15, , 4
2019/1/5, 51, 23, , 4
2019/1/6, 41, 26, , 2
2019/1/7, 43, 22, , 2
2019/1/8, 32, 19, , 6
2019/1/9, 47, 24, , 2
2019/1/10, 24, 22, , 1
2019/1/11, 28, 25, , 2
2019/1/12, 32, 21, , 2
2019/1/13, 31, 21, , 2
2019/1/14, 36, 20, , 2
2019/1/15, 37, 16, , 4
2019/1/16, 50, 14, , 4
