Week,Year,Date,Average of Manhattan Ozone AQI Value,Average of cluster 2 Ozone AQI Value
39,2019,9/20/2019 - 9/26/2019,51.43,51.43
40,2019,9/27/2019 - 10/3/2019,32.14,32.14
41,2019,10/4/2019 - 10/10/2019,25.71,25.71
42,2019,10/11/2019 - 10/17/2019,29.14,29.14
43,2019,10/18/2019 - 10/24/2019,25.57,25.57
44,2019,10/25/2019 - 10/31/2019,24,24
45,2019,11/1/2019 - 11/7/2019,23.14,23.14
46,2019,11/8/2019 - 11/14/2019,21,21
47,2019,11/15/2019 - 11/21/2019,21.43,21.43
48,2019,11/22/2019 - 11/28/2019,16.57,16.57
49,2019,11/29/2019 - 12/5/2019,22.57,22.57
50,2019,12/6/2019 - 12/12/2019,20.71,20.71
51,2019,12/13/2019 - 12/19/2019,22,22
52,2019,12/20/2019 - 12/26/2019,13.57,13.57
1,2020,12/27/2019 - 1/2/2020,18.43,18.43
2,2020,1/3/2020 - 1/9/2020,18.43,18.43
3,2020,1/10/2020 - 1/16/2020,18.57,18.57
4,2020,1/17/2020 - 1/23/2020,22.29,22.29
5,2020,1/24/2020 - 1/30/2020,23,23
6,2020,1/31/2020 - 2/6/2020,15.86,15.86
7,2020,2/7/2020 - 2/13/2020,25.86,25.86
8,2020,2/14/2020 - 2/20/2020,25.71,25.71
9,2020,2/21/2020 - 2/27/2020,28.29,28.29
10,2020,2/28/2020 - 3/5/2020,31.71,31.71
11,2020,3/6/2020 - 3/12/2020,28.71,28.71
12,2020,3/13/2020 - 3/19/2020,31,31
13,2020,3/20/2020 - 3/26/2020,33,33
14,2020,3/27/2020 - 4/2/2020,35,35
15,2020,4/3/2020 - 4/9/2020,34.14,34.14
16,2020,4/10/2020 - 4/16/2020,38.86,38.86
17,2020,4/17/2020 - 4/23/2020,36.43,36.43
18,2020,4/24/2020 - 4/30/2020,35.43,35.43
19,2020,5/1/2020 - 5/7/2020,39.43,39.43
20,2020,5/8/2020 - 5/14/2020,36.17,36.17
21,2020,5/15/2020 - 5/19/2020,46.25,46.25
