Week,Date,Rockland,Bronx,Queens,Brooklyn,Average
49,11/29/2018 - 12/5/2018,19.8,32.85714286,28.57142857,27.14285714,27.09285714
50,12/6/2018 - 12/12/2018,30.14285714,48,42.14285714,36.42857143,39.17857143
51,12/13/2018 - 12/19/2018,27.57142857,36.85714286,34.28571429,32.71428571,32.85714286
52,12/20/2018 - 12/26/2018,30.57142857,38.42857143,37.85714286,33.85714286,35.17857143
1,12/27/2018 - 1/2/2019,30.28571429,41,38,35.71428571,36.25
2,1/3/2019 - 1/9/2019,34.28571429,41.85714286,39.85714286,39.28571429,38.82142857
3,1/10/2019 - 1/16/2019,34,40.85714286,42,38.71428571,38.89285714
4,1/17/2019 - 1/23/2019,31.42857143,40,38.57142857,33.14285714,35.78571429
5,1/24/2019 - 1/30/2019,32.85714286,40.42857143,41.42857143,34.42857143,37.28571429
6,1/31/2019 - 2/6/2019,42.57142857,60.42857143,59.85714286,50.14285714,53.25
7,2/7/2019 - 2/13/2019,19.28571429,30.42857143,30.57142857,26.85714286,26.78571429
8,2/14/2019 - 2/20/2019,27.6,33,32.14285714,28.71428571,30.36428571
9,2/21/2019 - 2/27/2019,21.42857143,37,31.85714286,24.28571429,28.64285714
10,2/28/2019 - 3/6/2019,25.83333333,40.14285714,40.57142857,33.42857143,34.99404762
11,3/7/2019 - 3/13/2019,27.57142857,51,45.57142857,39.28571429,40.85714286
12,3/14/2019 - 3/20/2019,20.71428571,41.14285714,30.14285714,22.71428571,28.67857143
13,3/21/2019 - 3/27/2019,13.71428571,23.14285714,23.14285714,16.71428571,19.17857143
14,3/28/2019 - 4/3/2019,30.83333333,35.42857143,30.14285714,26.14285714,30.63690476
15,4/4/2019 - 4/10/2019,17.28571429,36.42857143,32.28571429,26.42857143,28.10714286
16,4/11/2019 - 4/17/2019,13.71428571,26.42857143,27.57142857,19,21.67857143
17,4/18/2019 - 4/24/2019,16.42857143,35.71428571,31.85714286,26.14285714,27.53571429
18,4/25/2019 - 5/1/2019,12.66666667,26.57142857,21.28571429,16.14285714,19.16666667
19,5/2/2019 - 5/8/2019,11.42857143,36.85714286,33.14285714,25.42857143,26.71428571
20,5/9/2019 - 5/15/2019,5.714285714,24.57142857,21.42857143,14.85714286,16.64285714
21,5/16/2019 - 5/22/2019,18.57142857,34.85714286,33.14285714,25,27.89285714
22,5/23/2019 - 5/29/2019,13,29.28571429,28.57142857,18.71428571,22.39285714
23,5/30/2019 - 6/5/2019,33.4,41.28571429,36.57142857,32,35.81428571
24,6/6/2019 - 6/12/2019,9.571428571,28.28571429,27.71428571,18.57142857,21.03571429
25,6/13/2019 - 6/19/2019,12.42857143,33.85714286,31,20.85714286,24.53571429
26,6/20/2019 - 6/26/2019,14.42857143,31.57142857,30.14285714,24.71428571,25.21428571
27,6/27/2019 - 7/3/2019,17.16666667,39.42857143,37.71428571,29.71428571,31.00595238
