Week,Date,Steuben,Monroe,Average
30,7/18/2019 - 7/24/2019,23.71428571,30.57142857,27.14285714
31,7/25/2019 - 7/31/2019,41.85714286,51,46.42857143
32,8/1/2019 - 8/7/2019,30.85714286,32,31.42857143
33,8/8/2019 - 8/14/2019,24.85714286,26.14285714,25.5
34,8/15/2019 - 8/21/2019,26.28571429,28,27.14285715
35,8/22/2019 - 8/28/2019,19,20.85714286,19.92857143
36,8/29/2019 - 9/4/2019,21.28571429,24.71428571,23
37,9/5/2019 - 9/11/2019,22.57142857,24.85714286,23.71428571
38,9/12/2019 - 9/18/2019,18,19.57142857,18.78571429
39,9/19/2019 - 9/25/2019,27.28571429,32.42857143,29.85714286
40,9/26/2019 - 10/2/2019,22.85714286,21,21.92857143
41,10/3/2019 - 10/9/2019,16.71428571,19,17.85714286
42,10/10/2019 - 10/16/2019,19.14285714,22.14285714,20.64285714
43,10/17/2019 - 10/23/2019,19.42857143,25.42857143,22.42857143
44,10/24/2019 - 10/30/2019,25.85714286,29.42857143,27.64285714
45,10/31/2019 - 11/6/2019,19.71428571,22.57142857,21.14285714
46,11/7/2019 - 11/13/2019,20.28571429,25.57142857,22.92857143
47,11/14/2019 - 11/20/2019,31,39.71428571,35.35714286
48,11/21/2019 - 11/27/2019,32.71428571,44,38.35714286
49,11/28/2019 - 12/4/2019,17.42857143,28.28571429,22.85714286
50,12/5/2019 - 12/11/2019,20.57142857,31.42857143,26
51,12/12/2019 - 12/18/2019,23.42857143,31.57142857,27.5
52,12/19/2019 - 12/25/2019,35,49,42
1,12/26/2019 - 1/1/2020,39,48.14285714,43.57142857
