"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"08/12/2015","","PINNACLE STATE PARK","36-101-0003","19"
"08/13/2015","","PINNACLE STATE PARK","36-101-0003","15"
"08/14/2015","","PINNACLE STATE PARK","36-101-0003","23"
"08/15/2015","","PINNACLE STATE PARK","36-101-0003","33"
"08/16/2015","","PINNACLE STATE PARK","36-101-0003","30"
"08/17/2015","","PINNACLE STATE PARK","36-101-0003","42"
"08/18/2015","","PINNACLE STATE PARK","36-101-0003","48"
"08/19/2015","","PINNACLE STATE PARK","36-101-0003","49"
"08/22/2015","","PINNACLE STATE PARK","36-101-0003","17"
"08/23/2015","","PINNACLE STATE PARK","36-101-0003","15"
"08/24/2015","","PINNACLE STATE PARK","36-101-0003","31"
"08/25/2015","","PINNACLE STATE PARK","36-101-0003","21"
"08/26/2015","","PINNACLE STATE PARK","36-101-0003","16"
"08/27/2015","","PINNACLE STATE PARK","36-101-0003","5"
"08/28/2015","","PINNACLE STATE PARK","36-101-0003","14"
"08/29/2015","","PINNACLE STATE PARK","36-101-0003","32"
"08/30/2015","","PINNACLE STATE PARK","36-101-0003","41"
"08/31/2015","","PINNACLE STATE PARK","36-101-0003","54"
"09/01/2015","","PINNACLE STATE PARK","36-101-0003","57"
"09/02/2015","","PINNACLE STATE PARK","36-101-0003","62"
"09/03/2015","","PINNACLE STATE PARK","36-101-0003","62"
"09/04/2015","","PINNACLE STATE PARK","36-101-0003","53"
"09/05/2015","","PINNACLE STATE PARK","36-101-0003","62"
"09/06/2015","","PINNACLE STATE PARK","36-101-0003","56"
"09/07/2015","","PINNACLE STATE PARK","36-101-0003","53"
"09/08/2015","","PINNACLE STATE PARK","36-101-0003","53"
"09/09/2015","","PINNACLE STATE PARK","36-101-0003","28"
"09/10/2015","","PINNACLE STATE PARK","36-101-0003","14"
"09/11/2015","","PINNACLE STATE PARK","36-101-0003","16"
"09/12/2015","","PINNACLE STATE PARK","36-101-0003","25"
"09/15/2015","","PINNACLE STATE PARK","36-101-0003","25"
"09/16/2015","","PINNACLE STATE PARK","36-101-0003","25"
"09/17/2015","","PINNACLE STATE PARK","36-101-0003","28"
"09/18/2015","","PINNACLE STATE PARK","36-101-0003","38"
"09/19/2015","","PINNACLE STATE PARK","36-101-0003","40"
"09/20/2015","","PINNACLE STATE PARK","36-101-0003","8"
"09/21/2015","","PINNACLE STATE PARK","36-101-0003","7"
"09/22/2015","","PINNACLE STATE PARK","36-101-0003","11"
"09/23/2015","","PINNACLE STATE PARK","36-101-0003","18"
"09/24/2015","","PINNACLE STATE PARK","36-101-0003","27"
"09/25/2015","","PINNACLE STATE PARK","36-101-0003","26"
"09/26/2015","","PINNACLE STATE PARK","36-101-0003","25"
"09/27/2015","","PINNACLE STATE PARK","36-101-0003","16"
"09/28/2015","","PINNACLE STATE PARK","36-101-0003","12"
"09/29/2015","","PINNACLE STATE PARK","36-101-0003","11"
"09/30/2015","","PINNACLE STATE PARK","36-101-0003","5"
