Week,Date,Manhattan,Brooklyn,Average
23,5/30/2019 - 6/5/2019,41.14285714,32,36.57142857
24,6/6/2019 - 6/12/2019,22,18.57142857,20.28571429
25,6/13/2019 - 6/19/2019,31.42857143,20.85714286,26.14285715
26,6/20/2019 - 6/26/2019,33.14285714,24.71428571,28.92857143
27,6/27/2019 - 7/3/2019,36.42857143,29.71428571,33.07142857
28,7/4/2019 - 7/10/2019,50.42857143,41.28571429,45.85714286
29,7/11/2019 - 7/17/2019,38.28571429,31,34.64285715
30,7/18/2019 - 7/24/2019,36,32.42857143,34.21428572
31,7/25/2019 - 7/31/2019,51.14285714,43.57142857,47.35714286
32,8/1/2019 - 8/7/2019,35.42857143,31.14285714,33.28571429
33,8/8/2019 - 8/14/2019,36.57142857,31.42857143,34
34,8/15/2019 - 8/21/2019,35.57142857,29.14285714,32.35714286
35,8/22/2019 - 8/28/2019,21.28571429,19.14285714,20.21428572
36,8/29/2019 - 9/4/2019,26,22.71428571,24.35714286
37,9/5/2019 - 9/11/2019,24.85714286,18.28571429,21.57142858
38,9/12/2019 - 9/18/2019,24.42857143,22.42857143,23.42857143
39,9/19/2019 - 9/25/2019,36.14285714,31.42857143,33.78571429
40,9/26/2019 - 10/2/2019,29.71428571,26.14285714,27.92857143
41,10/3/2019 - 10/9/2019,14,17.85714286,15.92857143
42,10/10/2019 - 10/16/2019,19.71428571,19.28571429,19.5
43,10/17/2019 - 10/23/2019,23.42857143,20.28571429,21.85714286
44,10/24/2019 - 10/30/2019,27.71428571,24,25.85714286
45,10/31/2019 - 11/6/2019,27.28571429,22.71428571,25
46,11/7/2019 - 11/13/2019,30.57142857,27.71428571,29.14285714
47,11/14/2019 - 11/20/2019,26.85714286,27.28571429,27.07142858
48,11/21/2019 - 11/27/2019,42.28571429,34.71428571,38.5
49,11/28/2019 - 12/4/2019,24.42857143,19.57142857,22
50,12/5/2019 - 12/11/2019,33.28571429,27.28571429,30.28571429
51,12/12/2019 - 12/18/2019,34.42857143,34.85714286,34.64285715
52,12/19/2019 - 12/25/2019,51.71428571,52.71428571,52.21428571
1,12/26/2019 - 1/1/2020,45.33333333,42.16666667,43.75
